Category: All categories

Month,electric bikes: (United States),charging station: (United States)
2013-01,6,22
2013-02,6,20
2013-03,8,18
2013-04,9,19
2013-05,9,19
2013-06,11,21
2013-07,12,18
2013-08,11,22
2013-09,10,22
2013-10,9,19
2013-11,9,24
2013-12,8,36
2014-01,7,27
2014-02,6,22
2014-03,9,21
2014-04,9,19
2014-05,11,21
2014-06,12,24
2014-07,12,25
2014-08,12,24
2014-09,9,23
2014-10,9,23
2014-11,10,30
2014-12,10,41
2015-01,7,25
2015-02,8,21
2015-03,9,22
2015-04,11,23
2015-05,12,23
2015-06,13,25
2015-07,14,25
2015-08,13,24
2015-09,12,24
2015-10,9,22
2015-11,10,32
2015-12,10,45
2016-01,8,29
2016-02,10,24
2016-03,10,25
2016-04,11,28
2016-05,14,24
2016-06,15,26
2016-07,15,29
2016-08,14,29
2016-09,15,27
2016-10,13,24
2016-11,13,31
2016-12,13,48
2017-01,12,34
2017-02,11,28
2017-03,13,26
2017-04,15,27
2017-05,15,26
2017-06,16,30
2017-07,21,33
2017-08,18,34
2017-09,17,32
2017-10,15,28
2017-11,15,42
2017-12,14,56
2018-01,12,38
2018-02,14,33
2018-03,17,32
2018-04,19,30
2018-05,21,31
2018-06,22,33
2018-07,23,37
2018-08,25,35
2018-09,23,35
2018-10,20,34
2018-11,19,43
2018-12,16,60
2019-01,14,43
2019-02,14,36
2019-03,20,38
2019-04,22,37
2019-05,25,36
2019-06,28,41
2019-07,30,40
2019-08,31,41
2019-09,27,36
2019-10,22,40
2019-11,21,53
2019-12,21,72
2020-01,18,48
2020-02,21,43
2020-03,21,31
2020-04,35,33
2020-05,48,39
2020-06,51,44
2020-07,50,45
2020-08,47,44
2020-09,38,42
2020-10,35,49
2020-11,34,82
2020-12,33,100
2021-01,30,64
2021-02,34,65
2021-03,45,66
2021-04,51,57
2021-05,54,53
2021-06,54,61
2021-07,54,61
2021-08,53,58
2021-09,47,51
2021-10,43,56
2021-11,43,77
2021-12,36,89
2022-01,34,72
2022-02,40,68
2022-03,53,81
2022-04,55,62
2022-05,60,64
2022-06,72,74
2022-07,73,76
2022-08,63,65
2022-09,55,68
2022-10,46,58
2022-11,44,69
2022-12,37,90
2023-01,32,69
2023-02,35,70
2023-03,37,77
