Category: All categories

Month,electric bikes: (United States),environment: (United States)
2013-01,1,51
2013-02,1,57
2013-03,1,53
2013-04,1,64
2013-05,1,60
2013-06,1,44
2013-07,2,38
2013-08,1,40
2013-09,1,61
2013-10,1,63
2013-11,1,53
2013-12,1,46
2014-01,1,52
2014-02,1,59
2014-03,1,58
2014-04,1,62
2014-05,1,60
2014-06,2,47
2014-07,2,37
2014-08,1,43
2014-09,1,65
2014-10,1,64
2014-11,1,58
2014-12,1,47
2015-01,1,53
2015-02,1,59
2015-03,1,60
2015-04,1,66
2015-05,2,60
2015-06,2,52
2015-07,2,37
2015-08,2,44
2015-09,2,71
2015-10,1,69
2015-11,1,63
2015-12,1,53
2016-01,1,53
2016-02,1,62
2016-03,1,62
2016-04,1,65
2016-05,2,59
2016-06,2,43
2016-07,2,33
2016-08,2,41
2016-09,2,66
2016-10,2,59
2016-11,2,61
2016-12,2,48
2017-01,2,56
2017-02,1,69
2017-03,2,62
2017-04,2,61
2017-05,2,60
2017-06,2,48
2017-07,3,35
2017-08,2,45
2017-09,2,64
2017-10,2,64
2017-11,2,58
2017-12,2,46
2018-01,2,55
2018-02,2,64
2018-03,2,60
2018-04,2,67
2018-05,3,62
2018-06,3,47
2018-07,3,37
2018-08,3,45
2018-09,3,68
2018-10,3,69
2018-11,2,58
2018-12,2,49
2019-01,2,58
2019-02,2,65
2019-03,3,64
2019-04,3,70
2019-05,3,67
2019-06,4,50
2019-07,4,39
2019-08,4,52
2019-09,3,74
2019-10,3,65
2019-11,3,60
2019-12,3,50
2020-01,2,62
2020-02,3,69
2020-03,3,61
2020-04,4,71
2020-05,6,59
2020-06,6,46
2020-07,6,41
2020-08,6,49
2020-09,5,83
2020-10,4,64
2020-11,4,50
2020-12,4,41
2021-01,4,44
2021-02,4,57
2021-03,6,55
2021-04,6,57
2021-05,7,51
2021-06,7,39
2021-07,7,33
2021-08,7,38
2021-09,6,56
2021-10,5,53
2021-11,5,51
2021-12,5,41
2022-01,4,57
2022-02,5,72
2022-03,7,75
2022-04,7,96
2022-05,8,81
2022-06,9,58
2022-07,9,45
2022-08,8,61
2022-09,7,86
2022-10,6,75
2022-11,6,71
2022-12,5,59
2023-01,4,69
2023-02,4,81
2023-03,4,100
