Category: All categories

Month,electric bikes: (United States),"Health, Fitness and Wellness: (United States)"
2013-01,2,61
2013-02,2,60
2013-03,2,58
2013-04,3,60
2013-05,3,56
2013-06,3,54
2013-07,3,55
2013-08,3,58
2013-09,3,62
2013-10,2,62
2013-11,2,56
2013-12,2,50
2014-01,2,63
2014-02,2,62
2014-03,2,62
2014-04,3,60
2014-05,3,55
2014-06,3,52
2014-07,3,55
2014-08,3,58
2014-09,3,64
2014-10,2,62
2014-11,3,57
2014-12,3,53
2015-01,2,67
2015-02,2,64
2015-03,2,64
2015-04,3,61
2015-05,3,56
2015-06,3,58
2015-07,4,59
2015-08,4,62
2015-09,3,66
2015-10,2,64
2015-11,3,59
2015-12,3,54
2016-01,2,64
2016-02,3,66
2016-03,3,65
2016-04,3,62
2016-05,4,60
2016-06,4,59
2016-07,4,54
2016-08,4,64
2016-09,4,68
2016-10,4,62
2016-11,4,60
2016-12,4,55
2017-01,3,69
2017-02,3,69
2017-03,3,69
2017-04,4,65
2017-05,4,64
2017-06,4,63
2017-07,6,59
2017-08,5,67
2017-09,5,66
2017-10,4,68
2017-11,4,63
2017-12,4,57
2018-01,3,73
2018-02,4,70
2018-03,5,66
2018-04,5,66
2018-05,6,62
2018-06,6,62
2018-07,6,64
2018-08,7,69
2018-09,6,73
2018-10,5,67
2018-11,5,63
2018-12,4,60
2019-01,4,77
2019-02,4,74
2019-03,6,69
2019-04,6,69
2019-05,7,69
2019-06,8,66
2019-07,8,63
2019-08,8,73
2019-09,7,76
2019-10,6,72
2019-11,6,64
2019-12,6,63
2020-01,5,86
2020-02,6,77
2020-03,6,60
2020-04,9,51
2020-05,13,54
2020-06,14,61
2020-07,14,63
2020-08,13,69
2020-09,10,82
2020-10,9,74
2020-11,9,61
2020-12,9,57
2021-01,8,71
2021-02,9,72
2021-03,12,71
2021-04,14,72
2021-05,15,67
2021-06,14,68
2021-07,15,68
2021-08,14,79
2021-09,13,81
2021-10,12,80
2021-11,12,78
2021-12,10,69
2022-01,9,86
2022-02,11,86
2022-03,14,89
2022-04,15,87
2022-05,16,80
2022-06,20,82
2022-07,20,78
2022-08,17,90
2022-09,15,89
2022-10,12,83
2022-11,12,82
2022-12,10,79
2023-01,9,100
2023-02,9,94
2023-03,10,99
